 1. Aqua600ml            | 2 = 4000
 2. BengBeng             | 3 = 2500
 3. Beras5kg             | 1 = 65000
 4. EsKrimCornetto       | 2 = 12000
 5. GoodDayCappuccino    | 4 = 4000
 6. GulaPasir1kg         | 1 = 15000
 7. IndomieGoreng        | 5 = 3000
 8. KopiTorabika         | 5 = 3000
 9. MinyakGoreng2L       | 1 = 30000
10. NuggetFiesta500g     | 1 = 40000
11. Oreo                 | 2 = 8000
12. PopMie               | 4 = 9000
13. RotiTawar            | 1 = 12000
14. SabunLux             | 3 = 10000
15. ShampooClear         | 2 = 30000
16. SilverQueen          | 2 = 20000
17. SosisSoNice          | 3 = 2000
18. SusuBeruang          | 3 = 10000
19. SusuUHT1L            | 1 = 20000
20. TehPucuk             | 3 = 5000
21. TelurAyamRas         | 2 = 28000
22. TissueBasah          | 1 = 15000
23. Yakult               | 5 = 10000
