 1. KopiGoodDay          | 3 = 4000
 2. WaferTango           | 4 = 7000
 3. ChikiBalls           | 4 = 8000
 4. SausABC              | 2 = 10000
 5. KerupukUdang         | 3 = 10000
 6. Yakult               | 5 = 10000
 7. RotiBakar            | 2 = 12000
 8. KecapABC             | 2 = 12000
 9. TisuNice             | 2 = 12000
10. GulaPasir1kg         | 1 = 15000
11. CoklatDelfi          | 3 = 15000
12. MinyakGoreng1L       | 1 = 20000
13. TelurAyamRas         | 1 = 28000
14. NuggetFiesta1kg      | 1 = 75000
